text,sentiment
The meeting is scheduled for 10 AM tomorrow.,neutral
"The customer service was outstanding, very helpful.",positive
I went to the store to buy groceries today.,neutral
This book has 300 pages and a hard cover.,neutral
This book has 300 pages and a hard cover.,neutral
The wait time at this restaurant was unbearable.,negative
"This product is terrible, broke after one use.",negative
"The food was delicious, I’ll definitely come back!",positive
I went to the store to buy groceries today.,neutral
"The food was delicious, I’ll definitely come back!",positive
"This product is terrible, broke after one use.",negative
"This product is terrible, broke after one use.",negative
"The food was delicious, I’ll definitely come back!",positive
I went to the store to buy groceries today.,neutral
The meeting is scheduled for 10 AM tomorrow.,neutral
"I had the best time at the concert, truly unforgettable.",positive
"I had the best time at the concert, truly unforgettable.",positive
The sky was cloudy throughout the afternoon.,neutral
The meeting is scheduled for 10 AM tomorrow.,neutral
I bought a new phone and it has a blue case.,neutral
The meeting is scheduled for 10 AM tomorrow.,neutral
"The customer service was outstanding, very helpful.",positive
This book has 300 pages and a hard cover.,neutral
"This product is terrible, broke after one use.",negative
I bought a new phone and it has a blue case.,neutral
"This product is terrible, broke after one use.",negative
"The customer service was outstanding, very helpful.",positive
"The food was bland and overpriced, very disappointing.",negative
"The food was delicious, I’ll definitely come back!",positive
This book has 300 pages and a hard cover.,neutral
This book has 300 pages and a hard cover.,neutral
"This product is terrible, broke after one use.",negative
"The food was delicious, I’ll definitely come back!",positive
"This product is terrible, broke after one use.",negative
"I regret buying this laptop, it's so slow.",negative
The meeting is scheduled for 10 AM tomorrow.,neutral
"The customer service was outstanding, very helpful.",positive
I absolutely loved this movie! The characters were amazing.,positive
"The customer service was outstanding, very helpful.",positive
"This book changed my perspective on life, highly recommend!",positive
"The food was delicious, I’ll definitely come back!",positive
This book has 300 pages and a hard cover.,neutral
The wait time at this restaurant was unbearable.,negative
"This product is terrible, broke after one use.",negative
"The food was delicious, I’ll definitely come back!",positive
"The food was bland and overpriced, very disappointing.",negative
The meeting is scheduled for 10 AM tomorrow.,neutral
"Worst customer service ever, they didn't even respond.",negative
"The customer service was outstanding, very helpful.",positive
I absolutely loved this movie! The characters were amazing.,positive
"This product is terrible, broke after one use.",negative
The wait time at this restaurant was unbearable.,negative
The sky was cloudy throughout the afternoon.,neutral
"This product is terrible, broke after one use.",negative
"This book changed my perspective on life, highly recommend!",positive
"The food was delicious, I’ll definitely come back!",positive
"Worst customer service ever, they didn't even respond.",negative
The wait time at this restaurant was unbearable.,negative
The sky was cloudy throughout the afternoon.,neutral
The sky was cloudy throughout the afternoon.,neutral
"This book changed my perspective on life, highly recommend!",positive
"Worst customer service ever, they didn't even respond.",negative
This book has 300 pages and a hard cover.,neutral
"I regret buying this laptop, it's so slow.",negative
This book has 300 pages and a hard cover.,neutral
"I regret buying this laptop, it's so slow.",negative
The meeting is scheduled for 10 AM tomorrow.,neutral
The wait time at this restaurant was unbearable.,negative
The meeting is scheduled for 10 AM tomorrow.,neutral
"Worst customer service ever, they didn't even respond.",negative
The wait time at this restaurant was unbearable.,negative
"I regret buying this laptop, it's so slow.",negative
The wait time at this restaurant was unbearable.,negative
"Worst customer service ever, they didn't even respond.",negative
The wait time at this restaurant was unbearable.,negative
"Worst customer service ever, they didn't even respond.",negative
